room,time,outcome,sale
1,13,73,72.0
1,13,74,73.0
1,13,75,74.0
1,13,76,75.0
1,13,77,76.0
1,13,78,77.0
1,13,79,78.0
1,13,80,79.0
1,13,81,80.0
1,13,82,81.0
1,13,83,82.0
1,13,84,83.0
1,13,85,84.0
1,13,86,85.0
1,13,87,86.0
1,13,88,87.0
1,13,89,88.0
1,13,90,89.0
1,13,91,90.0
1,13,92,91.0
1,13,93,92.0
1,13,94,93.0
1,13,95,94.0
1,13,96,95.0
1,13,97,96.0
1,13,98,97.0
1,13,99,98.0
1,13,100,99.0
1,13,101,-0.0
1,14,1,-0.0
1,14,2,-0.0
1,14,3,-0.0
1,14,4,-0.0
1,14,5,-0.0
1,14,6,-0.0
1,14,7,-0.0
1,14,8,-0.0
1,14,9,-0.0
1,14,10,-0.0
1,14,11,-0.0
1,14,12,-0.0
1,14,13,-0.0
1,14,14,-0.0
1,14,15,-0.0
1,14,16,-0.0
1,14,17,-0.0
1,14,18,-0.0
1,14,19,-0.0
1,14,20,-0.0
1,14,21,-0.0
1,14,22,-0.0
1,14,23,-0.0
1,14,24,-0.0
1,14,25,-0.0
1,14,26,-0.0
1,14,27,-0.0
1,14,28,-0.0
1,14,29,-0.0
1,14,30,-0.0
1,14,31,-0.0
1,14,32,-0.0
1,14,33,-0.0
1,14,34,-0.0
1,14,35,-0.0
1,14,36,-0.0
1,14,37,-0.0
1,14,38,-0.0
1,14,39,-0.0
1,14,40,-0.0
1,14,41,-0.0
1,14,42,-0.0
1,14,43,-0.0
1,14,44,-0.0
1,14,45,-0.0
1,14,46,-0.0
1,14,47,-0.0
1,14,48,-0.0
1,14,49,-0.0
1,14,50,-0.0
1,14,51,-0.0
1,14,52,-0.0
1,14,53,-0.0
1,14,54,-0.0
1,14,55,54.0
1,14,56,55.0
1,14,57,56.0
1,14,58,57.0
1,14,59,58.0
1,14,60,59.0
1,14,61,60.0
1,14,62,61.0
1,14,63,62.0
1,14,64,63.0
1,14,65,64.0
1,14,66,65.0
1,14,67,66.0
1,14,68,67.0
1,14,69,68.0
1,14,70,69.0
1,14,71,70.0
1,14,72,71.0
1,14,73,72.0
1,14,74,73.0
1,14,75,74.0
1,14,76,75.0
1,14,77,76.0
1,14,78,77.0
1,14,79,78.0
1,14,80,79.0
1,14,81,80.0
1,14,82,81.0
1,14,83,82.0
1,14,84,83.0
1,14,85,84.0
1,14,86,85.0
1,14,87,86.0
1,14,88,87.0
1,14,89,88.0
1,14,90,89.0
1,14,91,90.0
1,14,92,91.0
1,14,93,92.0
1,14,94,93.0
1,14,95,94.0
1,14,96,95.0
1,14,97,96.0
1,14,98,97.0
1,14,99,98.0
1,14,100,99.0
1,14,101,-0.0
1,15,1,-0.0
1,15,2,-0.0
1,15,3,-0.0
1,15,4,-0.0
1,15,5,-0.0
1,15,6,-0.0
1,15,7,-0.0
1,15,8,-0.0
1,15,9,-0.0
1,15,10,-0.0
1,15,11,-0.0
1,15,12,-0.0
1,15,13,-0.0
1,15,14,-0.0
1,15,15,-0.0
1,15,16,-0.0
1,15,17,-0.0
1,15,18,-0.0
1,15,19,-0.0
1,15,20,-0.0
